12,11,6,1,9,2,11,5,8,7,15,14,1,3,4
14,8,4,5,5,8,2,13,4,12,1,3,14,10,3
3,10,12,14,2,15,5,4,7,8,2,9,7,6,1
13,4,14,8,2,11,15,2,12,1,11,9,6,9,4
2,6,15,3,4,14,1,12,14,2,5,8,5,8,10
1,14,8,12,3,8,7,10,6,2,3,1,15,13,2
6,10,2,2,14,10,9,8,11,5,8,1,4,8,13
11,9,8,15,12,4,3,11,1,13,10,4,12,1,6
8,5,7,9,6,11,4,6,10,7,2,6,1,7,12
12,1,10,2,11,4,2,8,14,3,2,7,13,15,3
15,2,12,2,2,9,7,2,5,10,3,13,11,8,9
4,13,10,10,8,3,6,2,1,15,9,11,13,14,7
8,7,3,6,5,13,10,7,9,11,14,12,8,2,4
10,15,4,13,7,3,14,9,14,11,11,2,3,5,8
13,12,1,8,10,4,8,14,15,3,5,6,13,4,3
